cmm_code,common_description,material_family,governance_status,member_count,cpse_count,consuming_cpses,primary_uom,total_annual_consumption,avg_consumption_per_member,plant_count,dominant_plant
CMM-BEARNG-0669B8-001,BEARING | BALL BEARING | STAINLESS STEEL | 6208 | ISO 15,BEARING,VERIFIED_HARMONIZED,3,3,IOCL;NMDC;NTPC,NOS,30203,10067.67,3,Bailadila Iron Ore Mine
CMM-BEARNG-0772AD-001,BEARING | STAINLESS STEEL | 30205 | ISO 15,BEARING,VERIFIED_HARMONIZED,2,2,IOCL;NMDC,NOS,5602,2801.0,2,Donimalai Iron Ore Mine
CMM-BEARNG-0C2D83-001,BEARING | BALL BEARING | AISI 52100 | 6304 | DIN 625,BEARING,VERIFIED_HARMONIZED,2,2,HPCL;NTPC,NOS,16546,8273.0,2,Singrauli STPS
CMM-BEARNG-0FD5BF-001,BEARING | BALL BEARING | STAINLESS STEEL | 6208 | DIN 625,BEARING,AMBIGUOUS_REVIEW_REQUIRED,10,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,53277,5327.7,10,Barauni Refinery
CMM-BEARNG-17B18A-001,BEARING | CHROME STEEL | 6208 | ABMA 9,BEARING,VERIFIED_HARMONIZED,5,5,BHEL;HPCL;IOCL;ONGC;SAIL,NOS,17864,3572.8,5,Barauni Refinery
CMM-BEARNG-1E674F-001,BEARING | AISI 52100 | 6208 | DIN 625,BEARING,VERIFIED_HARMONIZED,4,4,BHEL;Coal India;NTPC;ONGC,NOS,42047,10511.75,4,Bhopal Complex
CMM-BEARNG-200E56-001,BEARING | STAINLESS STEEL | 6408 | DIN 625,BEARING,VERIFIED_HARMONIZED,2,2,NTPC;ONGC,NOS,19962,9981.0,2,Mumbai Offshore Complex
CMM-BEARNG-20EFDA-001,BEARING | STAINLESS STEEL | 6304 | ISO 15,BEARING,VERIFIED_HARMONIZED,4,4,BHEL;IOCL;NTPC;SAIL,NOS,17213,4303.25,4,Gujarat Refinery
CMM-BEARNG-300A61-001,BEARING | STAINLESS STEEL | 30205,BEARING,AMBIGUOUS_REVIEW_REQUIRED,5,4,BHEL;IOCL;NTPC;ONGC,NOS,34396,6879.2,5,Panipat Refinery
CMM-BEARNG-39C22B-001,BEARING | CHROME STEEL | 22208 | ABMA 9,BEARING,AMBIGUOUS_REVIEW_REQUIRED,10,5,HPCL;NMDC;NTPC;ONGC;SAIL,NOS,59380,5938.0,9,Mumbai Offshore Complex
CMM-BEARNG-3EC238-001,BEARING | BALL BEARING | AISI 52100 | 22208 | ABMA 9,BEARING,VERIFIED_HARMONIZED,2,2,Coal India;HPCL,NOS,8666,4333.0,2,Mumbai Refinery
CMM-BEARNG-491461-001,BEARING | BALL BEARING | STAINLESS STEEL | 30205 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,8,5,BHEL;IOCL;NTPC;ONGC;SAIL,NOS,74261,9282.62,7,Bhopal Complex
CMM-BEARNG-52104E-001,BEARING | STAINLESS STEEL | 22208 | ABMA 9,BEARING,AMBIGUOUS_REVIEW_REQUIRED,14,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,110302,7878.71,11,Bhopal Complex
CMM-BEARNG-668968-001,BEARING | AISI 52100 | 6304 | ISO 15,BEARING,AMBIGUOUS_REVIEW_REQUIRED,7,5,BHEL;IOCL;NMDC;ONGC;SAIL,NOS,52376,7482.29,7,Bokaro Steel Plant
CMM-BEARNG-66CBD4-001,BEARING | BALL BEARING | CHROME STEEL | 30205 | ISO 15,BEARING,VERIFIED_HARMONIZED,2,2,Coal India;ONGC,NOS,10859,5429.5,2,Uran Plant
CMM-BEARNG-67CA99-001,BEARING | AISI 52100 | 6304,BEARING,AMBIGUOUS_REVIEW_REQUIRED,15,8,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,NOS,120485,8032.33,12,Panipat Refinery
CMM-BEARNG-75E845-001,BEARING | AISI 52100 | 22208 | ABMA 9,BEARING,AMBIGUOUS_REVIEW_REQUIRED,6,5,Coal India;IOCL;NMDC;NTPC;ONGC,NOS,41581,6930.17,6,Singrauli STPS
