id,common_material_id,source_material_code,source_cpse,source_description,canonical_material_key,membership_type,accepted_edge_candidate_ids,reviewer_ids,evidence_snapshot_hashes
0737c112-44c0-52a7-978e-b59b661bf0a2,CMM-BEARNG-107937-001,ONGC-145413,ONGC,DEEP GROOVE BEARING 6203,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
b08d9a15-1a5b-5d45-b0fd-2fced0ff03ab,CMM-BEARNG-197F46-001,HPCL-970715,HPCL,DEEP GROOVE BEARING 6203,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
aff02dba-4cf5-569e-8e02-4bc316d47c85,CMM-BEARNG-19819D-001,HPCL-598413,HPCL,BALL BEARING 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
82952925-c607-5e37-b8f5-93e2d5f34ec2,CMM-BEARNG-1CF94C-001,IOCL-398329,IOCL,BEARING NO 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
f1b967af-9277-5c61-8737-277f2c404206,CMM-BEARNG-1E2280-001,HPCL-709462,HPCL,BEARING NO 6205,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6205|ISO_15,STANDALONE,,,
e31b33f3-f8b6-5897-a709-05be7ca5f664,CMM-BEARNG-202D66-001,CPCL-235901,CPCL,DEEP GROOVE BEARING 6209,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
5f8ac1f8-76c0-5e7d-933c-e5fed6dfd94b,CMM-BEARNG-247E4B-001,ONGC-757723,ONGC,BEARING NO 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
818d1823-bf40-58c7-a788-9d900b7b6ff2,CMM-BEARNG-25E0A7-001,CPCL-719680,CPCL,DEEP GROOVE BEARING 6203,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
d58a92c3-4c82-55e2-9f2c-e29c5fb363b6,CMM-BEARNG-2A0F29-001,IOCL-779678,IOCL,BEARING NO 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
3cc013cf-0005-50d3-bfb7-97c093c286ee,CMM-BEARNG-2BB54C-001,HPCL-804431,HPCL,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
f725ce78-cb7a-50ef-b3ef-e423907a3111,CMM-BEARNG-2D694E-001,ONGC-679990,ONGC,DEEP GROOVE BEARING 6202,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
1dcf1b90-0f14-5f08-b847-eabb68d1e43c,CMM-BEARNG-2DA414-001,ONGC-354824,ONGC,BALL BEARING 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
fb7c07c9-683c-5e42-8d0a-70273d08cb4c,CMM-BEARNG-2F0A3D-001,ONGC-917666,ONGC,BEARING NO 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
7382e27a-a00e-5f3c-8d68-036e60e3596f,CMM-BEARNG-330C82-001,CPCL-277466,CPCL,BALL BEARING 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
94aa5ab3-7686-5c64-9ac9-7d33d5d5e0f2,CMM-BEARNG-34DB16-001,IOCL-177934,IOCL,BALL BEARING 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
5d3a7785-a8eb-5f47-a281-06f3ea003173,CMM-BEARNG-350310-001,IOCL-685011,IOCL,DEEP GROOVE BEARING 6205,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6205|ISO_15,STANDALONE,,,
5951e7e8-6030-5a08-ae34-a079cdb960c5,CMM-BEARNG-3657E4-001,HPCL-991557,HPCL,BALL BEARING 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
9c2a7b06-d875-51f5-abaf-5eae46ff82da,CMM-BEARNG-3CCE37-001,IOCL-541163,IOCL,BALL BEARING 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
5828ed7b-9d79-529c-8d88-81cacfd51dfb,CMM-BEARNG-3E29D2-001,IOCL-146676,IOCL,BEARING NO 6208,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,STANDALONE,,,
1277365b-2300-5f52-97e2-f25de36818c1,CMM-BEARNG-3E9FE3-001,HPCL-368092,HPCL,DEEP GROOVE BEARING 6202,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
f77f7b38-0152-5843-9345-fe16e7eb5a0c,CMM-BEARNG-401F95-001,ONGC-189481,ONGC,BALL BEARING 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
e9545894-2c41-5c1a-826a-c24983f37a2e,CMM-BEARNG-42F6B2-001,ONGC-548462,ONGC,BALL BEARING 6209,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6209|ISO_15,STANDALONE,,,
c3563423-9947-5c77-97ae-0b9da0e07f28,CMM-BEARNG-43270C-001,CPCL-421655,CPCL,BEARING NO 6202,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6202|ISO_15,STANDALONE,,,
f5c8451d-98f0-5f07-bbc7-388c5d2d8da7,CMM-BEARNG-43C51D-001,ONGC-673510,ONGC,BEARING NO 6207,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6207|ISO_15,STANDALONE,,,
e77630a0-9be1-58b8-9f6a-043af3793f5c,CMM-BEARNG-44121A-001,ONGC-663196,ONGC,BEARING NO 6203,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6203|ISO_15,STANDALONE,,,
