Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used
CIL-400001,Coal India,Ball Bearing 6304 Stainless Steel,ball bearing 6304 stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,6304,FAG,FAG-BB-6304-12,NOS,10,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field
SAIL-300001,SAIL,"BALL BRG, Stainless Steel, SIZE 6304","ball bearing, stainless steel, size 6304",Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,6304,FAG,FAG-BB-6304-29,NOS,10,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field
BHEL-500001,BHEL,6304 BRG BALL - Stainless Steel,6304 bearing ball - stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,,FAG,FAG-BB-6304-14,NOS,9,False,,FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field
ONGC-100001,ONGC,6304 BRG BALL - Stainless Steel,6304 bearing ball - stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,,FAG,FAG-BB-6304-69,NOS,9,False,,FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field
HPCL-120001,HPCL,IND.Centrifugal Pump SS316 DN 100,ind.centrifugal pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-10,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400002,Coal India,DN 100 Centrifugal Pump - SS316,dn 100 centrifugal pump - ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-99,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200001,NTPC,STORES ITEM Centrifugal Pump SS316 DN 100,stores item centrifugal pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-92,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110001,IOCL,CENT. PUMP SS316 DN 100,cent. pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-32,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100002,ONGC,STORES ITEM Centrifugal Pump DN 100 SS316,stores item centrifugal pump dn 100 ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-15,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300002,SAIL,SPARE-PUMP CENTRIF DN 100 SS316,spare-pump centrif dn 100 ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-88,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110002,IOCL,CONTROL VALVE 2 in WCB,control valve 2 in wcb,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,valve,,,,WCB,2 in,,,,,,,,,,API 598,API 598,,,,,,,KSB,KSB-CV-2in-77,NOS,8,False,,FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
