source_material_code,source_cpse,candidate_material_code,candidate_cpse,source_canonical_key,candidate_canonical_key,canonical_key_exact,description_similarity,embedding_similarity,attribute_agreement,evaluated_attribute_count,blocking_strategies,conflict_present,conflict_details,engineering_conflict_class,engineering_incompatibility,penalty_applied,final_match_score,confidence_level,evidence_summary,material_family_similarity,material_type_similarity,material_subtype_similarity,material_similarity,material_grade_similarity,nominal_size_similarity,size_similarity,length_similarity,width_similarity,height_similarity,diameter_similarity,thickness_similarity,pressure_class_similarity,schedule_similarity,rating_similarity,standard_similarity,coating_similarity,connection_type_similarity,end_type_similarity,construction_similarity,orientation_similarity,candidate_id,candidate_rank
IOCL-177934,IOCL,CPCL-304313,CPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000001,1
IOCL-177934,IOCL,HPCL-991557,HPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000002,2
IOCL-177934,IOCL,HPCL-616625,HPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000003,3
IOCL-177934,IOCL,IOCL-325270,IOCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000004,4
IOCL-177934,IOCL,IOCL-333148,IOCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000005,5
IOCL-177934,IOCL,IOCL-146676,IOCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,True,1.0,1.0,1.0,6,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,1.0,HIGH,Exact canonical material key match | Embedding sim: 1.00 | Description sim: 1.00 | Attribute agreement: 1.00 (6 attrs) | Status: NO_CONFLICT,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000006,6
IOCL-177934,IOCL,CPCL-736993,CPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,False,0.9067,0.9731,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,0.6281,LOW,Embedding sim: 0.97 | Description sim: 0.91 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000007,7
IOCL-177934,IOCL,CPCL-899710,CPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,False,0.9067,0.9731,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,0.6281,LOW,Embedding sim: 0.97 | Description sim: 0.91 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000008,8
IOCL-177934,IOCL,CPCL-175695,CPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|DEEP_GROOVE|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,False,0.9067,0.9731,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,False,,NO_CONFLICT,False,0.0,0.6281,LOW,Embedding sim: 0.97 | Description sim: 0.91 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,0.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,CAN-000009,9
IOCL-177934,IOCL,CPCL-971523,CPCL,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6208|ISO_15,BEARING|BALL_BEARING|CHROME_STEEL|CHROME_STEEL|6206|ISO_15,False,0.9853,0.9988,0.9583,6,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,,HARD_INCOMPATIBLE,True,0.5,0.1816,LOW,Embedding sim: 1.00 | Description sim: 0.99 | Attribute agreement: 0.96 (6 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible bearing number: '6208' vs '6206',1.0,1.0,,1.0,1.0,,0.75,,,,,,,,,1.0,,,,,,CAN-000010,10
