CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
IOCL,IOCL-177934,BALL BEARING 6208,Bearings,Ball Bearing,ISO 15; Bearing 6208,Chrome Steel,6208,,,,NOS,Prime Electricals,PRI-640-42,Panipat Refinery,Active,8750,2025-02-28,ball bearing 6208,iso 15; bearing 6208,chrome steel,6208,,Prime Electricals,PRI-640-42,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-501828,BEARING NO 6207,Bearings,Ball Bearing,ISO 15; Bearing 6207,Chrome Steel,6207,,,,NOS,ABC Industrial Products,ABC-475-69,Mathura Refinery,Inactive,14822,2024-12-16,bearing number 6207,iso 15; bearing 6207,chrome steel,6207,,ABC Industrial Products,ABC-475-69,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-325270,BALL BEARING 6208,Bearings,Ball Bearing,ISO 15; Bearing 6208,Chrome Steel,6208,,,,NOS,Larsen Engineering,LAR-726-63,Paradip Refinery,Active,4310,2025-04-22,ball bearing 6208,iso 15; bearing 6208,chrome steel,6208,,Larsen Engineering,LAR-726-63,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-770259,WELD NECK FLANGE 1 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 1 in; ASTM A105,ASTM A105,1 in,,,Bare,MTR,Hindustan Mechanical,HIN-319-95,Mathura Refinery,Active,20663,2025-03-07,weld neck flange 1 in asme b16.5,asme b16.5; 1 in; astm a105,astm a105,1 in,bare,Hindustan Mechanical,HIN-319-95,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-672630,WELD NECK FLANGE 1 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 1 in; ASTM A105,ASTM A105,1 in,,,Bare,MTR,Apex Industrial Systems,APE-454-20,Chennai Refinery,Active,13820,2024-08-17,weld neck flange 1 in astm a105,asme b16.5; 1 in; astm a105,astm a105,1 in,bare,Apex Industrial Systems,APE-454-20,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-156968,HORIZONTAL CENTRIFUGAL PUMP 80 mm,Pumps,Centrifugal Pump,API 610; 80 mm; SS 316,SS 316,80 mm,,,Painted,NOS,Apex Industrial Systems,APE-337-92,Mathura Refinery,Active,14815,2025-04-27,horizontal centrifugal pump 80 mm,api 610; 80 mm; ss 316,ss 316,80 mm,painted,Apex Industrial Systems,APE-337-92,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-521278,HEX NUT M8 ZINC PLATED,Fasteners,Nut,IS 1364; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Apex Industrial Systems,APE-188-49,Mehsana Asset,Active,1939,2024-03-16,hexagonal nut m8 zinc plated,is 1364; m8; zinc plated,carbon steel,m8,zinc plated,Apex Industrial Systems,APE-188-49,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-935517,HORIZONTAL CENTRIFUGAL PUMP 100 mm,Pumps,Centrifugal Pump,API 610; 100 mm; SS 316,SS 316,100 mm,,,Painted,NOS,Supreme Engineering,SUP-447-23,Ahmedabad Asset,Active,7477,2024-04-04,horizontal centrifugal pump 100 mm,api 610; 100 mm; ss 316,ss 316,100 mm,painted,Supreme Engineering,SUP-447-23,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-462251,HRC CARTRIDGE 10 A,Electrical,Fuse,IS 13703; 10 A,Ceramic,10 A,,,,MTR,Prime Electricals,PRI-134-25,Visakh Refinery,Active,9740,2024-07-21,high rupturing capacity cartridge 10 a,is 13703; 10 a,ceramic,10 a,,Prime Electricals,PRI-134-25,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-243053,FLOATING BALL VALVE 1 in SS 316,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Supreme Engineering,SUP-284-71,Paradip Refinery,Inactive,2302,2025-06-28,floating ball valve 1 in stainless steel 316,api 608; 1 in; ss 316,ss 316,1 in,ss,Supreme Engineering,SUP-284-71,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
