fact_id,source_cpse,material_code,material_description,cmm_code,material_category,material_type,unit_of_measure,plant,material_status,annual_consumption,last_purchase_date,manufacturer,manufacturer_part_no
5faaaa18-6805-5405-a24c-0d15ac550659,BHEL,BHEL-500001,6304 BRG BALL - Stainless Steel,CMM-BEARNG-98CF95-001,Bearings,Ball Bearing,NOS,Bhopal Complex,Slow-Moving,9941,2024-09-27,FAG,FAG-BB-6304-14
ba13fc0b-5ff0-523a-93db-bc80cafce1e1,BHEL,BHEL-500002,XLPE Cable 4C x 25 sq mm XLPE Insulated,CMM-ELECTR-AD2D59-001,Electrical,XLPE Cable,MTR,Trichy Complex,Active,5854,2025-03-09,Siemens,SIE-XC-4Cx25sqmm-61
72c1f5f9-921d-5e53-aee1-824c5ade8342,BHEL,BHEL-500003,IND.Gate Valve 2 in LCB,CMM-VALVE-758633-001,Valves,Gate Valve,NOS,Ranipet Complex,Active,6578,2024-12-02,Leader Valves,LEAVAL-GV-2in-45
44ef1980-10f5-54f4-839d-8dd9862e4b0e,BHEL,BHEL-500004,"PIPE SMLS, SS316L, SIZE 6 in",CMM-PIPEF-4E2A15-001,Pipes & Fittings,Seamless Pipe,MTR,Trichy Complex,Active,1196,2025-11-11,ISMT,ISM-SP-6in-33
9e9f7e37-3d44-5919-9ac7-747dcdbf79ac,BHEL,BHEL-500005,DN 100 REDUCER - ASTM A106 Gr B,CMM-PIPEF-C9F1AA-001,Pipes & Fittings,Reducer,MTR,Hazira Complex,Active,6439,2025-03-05,Tata Steel,TATSTE-R-DN100-98
1c3f82ca-c562-58ff-947d-87efe7bf802a,BHEL,BHEL-500006,GEAR PUMP Duplex Steel 3 in x 2 in,CMM-PUMP-357758-001,Pumps,Gear Pump,SET,Hazira Complex,Active,1179,2025-06-02,WPIL,WPI-GP-3inx2in-73
cd4a1fe3-fd12-523d-86fc-a9f0c61f89d2,BHEL,BHEL-500007,STORES ITEM XLPE CABLE Aluminium 3C x 95 sq mm,CMM-ELECTR-79A6DD-001,Electrical,XLPE Cable,MTR,Ranipet Complex,Slow-Moving,1574,2024-10-28,Crompton Greaves,CROGRE-XC-3Cx95sqmm-63
a8b3ff41-c15c-5ad6-9660-63a4bd996a0f,BHEL,BHEL-500008,"HEX NUT, Grade 8.8, SIZE M12 x 50",CMM-FASTNR-412B68-001,Fasteners,Hex Nut,KG,Ranipet Complex,Active,8972,2024-08-18,Sundram Fasteners,SUNFAS-HN-M12x50-10
ba096379-d14f-5c8c-84e2-e08872e30203,BHEL,BHEL-500009,IND.Needle Bearing AISI 52100 6304,CMM-BEARNG-668968-001,Bearings,Needle Bearing,NOS,Ranipet Complex,Active,12756,2025-02-24,Timken,TIM-NB-6304-59
d312ec5d-92f1-5dba-9221-d6bcd0a2afe4,BHEL,BHEL-500010,BOLT HEX M16 x 65 Grade B7,CMM-FASTNR-3AF121-001,Fasteners,Hex Bolt,NOS,Hazira Complex,Active,969,2024-10-27,Unbrako,UNB-HB-M16x65-57
6a2aea70-0995-5cf4-9add-f1cb8a1edb4c,BHEL,BHEL-500011,STORES ITEM O-Ring NBR 2 in,CMM-SEALG-C4821B-001,Seals,O-Ring,NOS,Hazira Complex,Active,12225,2025-12-14,Flowserve,FLO-O-2in-13
