opportunity_id,opportunity_type,cmm_code,source_cpses,material_codes,trigger_metric,trigger_value,threshold,reason,evidence_reference
c5275381-c559-5f52-a6b9-34bf5db854a8,HIGH_VOLUME_CONCENTRATION,CMM-BEARNG-67CA99-001,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,BHEL-500172;CIL-400022;CIL-400080;CIL-400181;HPCL-120034;HPCL-120093;IOCL-110032;IOCL-110086;IOCL-110171;NMDC-410029;NTPC-200085;NTPC-200166;ONGC-100027;SAIL-300033;SAIL-300095,total_annual_consumption,120485,>= P95 (113356.9),Item ranks in the top 5% annual consumption volume for family BEARING (NOS).,P95_PERCENTILE_LINEAR_BEARING_NOS
b5400013-521a-59d6-b644-0bbb7d90ec9f,HIGH_VOLUME_CONCENTRATION,CMM-BEARNG-FF170C-001,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;SAIL,BHEL-500043;CIL-400053;HPCL-120043;HPCL-120047;HPCL-120061;HPCL-120184;IOCL-110106;NMDC-410060;NMDC-410184;NTPC-200039;NTPC-200040;NTPC-200054;SAIL-300044;SAIL-300067;SAIL-300125,total_annual_consumption,139187,>= P95 (113356.9),Item ranks in the top 5% annual consumption volume for family BEARING (NOS).,P95_PERCENTILE_LINEAR_BEARING_NOS
a671848e-a77c-510a-b52a-b0a387560fe5,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-2DB37C-001,BHEL;HPCL;NMDC;NTPC;SAIL,BHEL-500039;HPCL-120042;NMDC-410039;NTPC-200038;SAIL-300043,total_annual_consumption,53872,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
e8c34cc4-830f-5fff-b9df-127213ceddd7,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-42D24C-001,BHEL;Coal India;HPCL;IOCL;NTPC;ONGC;SAIL,BHEL-500077;CIL-400065;HPCL-120078;HPCL-120163;IOCL-110071;NTPC-200070;ONGC-100072;SAIL-300164,total_annual_consumption,61573,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
c20edfd8-19c4-5a6a-8a29-34c1eba77d21,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-45EFBF-001,BHEL;Coal India;HPCL;IOCL;NMDC;SAIL,BHEL-500069;CIL-400062;HPCL-120070;IOCL-110064;NMDC-410070;SAIL-300074,total_annual_consumption,64113,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
4ce45257-a0d1-51fb-a7a0-19549a43fcee,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-609134-001,HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,HPCL-120087;IOCL-110081;NMDC-410089;NTPC-200082;ONGC-100184;SAIL-300182,total_annual_consumption,53215,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
4b3d49b1-702b-5ef7-bdc7-03cda908aa07,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-62038E-001,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,BHEL-500111;CIL-400116;HPCL-120116;IOCL-110109;NMDC-410108;NTPC-200103;ONGC-100113;SAIL-300118,total_annual_consumption,76164,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
8f4b88b9-58b5-501b-8c63-fb0b4a431723,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-941023-001,BHEL;Coal India;HPCL;NTPC;ONGC;SAIL,BHEL-500023;CIL-400145;HPCL-120026;NTPC-200023;NTPC-200147;ONGC-100023;SAIL-300026,total_annual_consumption,49745,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
df7939fe-9156-55e3-ac16-acf0a2cf4e94,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-9C93DB-001,Coal India;HPCL;NMDC;ONGC;SAIL,CIL-400094;HPCL-120105;NMDC-410101;ONGC-100103;SAIL-300108,total_annual_consumption,44811,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
a5b1b5b3-a787-50a4-b086-0a27456cec88,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-9FEFD2-001,BHEL;HPCL;IOCL;NMDC;NTPC;SAIL,BHEL-500079;HPCL-120081;IOCL-110075;NMDC-410082;NTPC-200075;SAIL-300084,total_annual_consumption,67948,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
908f4895-56b9-57fe-acfb-4c3b69ab2cea,HIGH_VOLUME_CONCENTRATION,CMM-ELECTR-E728FA-001,BHEL;Coal India;HPCL;IOCL;NTPC;ONGC;SAIL,BHEL-500036;CIL-400028;HPCL-120038;IOCL-110039;NTPC-200032;ONGC-100033;ONGC-100191;SAIL-300184,total_annual_consumption,81038,>= P95 (44223.0),Item ranks in the top 5% annual consumption volume for family ELECTRICAL (MTR).,P95_PERCENTILE_LINEAR_ELECTRICAL_MTR
bdbb78fa-41da-592d-8a6f-b47988559567,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-0B0423-001,HPCL;NMDC;NTPC,HPCL-120094;NMDC-410096;NTPC-200087,total_annual_consumption,27852,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
b9c7314a-6856-52ae-84a8-2f296bd3e164,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-1AF629-001,Coal India;IOCL;NMDC;ONGC,CIL-400034;IOCL-110044;NMDC-410041;ONGC-100038,total_annual_consumption,40906,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
74e978c9-148c-55e1-ab7e-2f00fdb13d1c,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-412B68-001,BHEL;HPCL;IOCL;NMDC;NTPC;SAIL,BHEL-500008;BHEL-500107;HPCL-120006;HPCL-120112;IOCL-110008;NMDC-410008;NMDC-410105;NTPC-200009;SAIL-300010,total_annual_consumption,76976,>= P95 (24156.8),Item ranks in the top 5% annual consumption volume for family FASTENER (KG).,P95_PERCENTILE_LINEAR_FASTENER_KG
cc556f2d-2764-5fbf-bc5d-ab5e21abb9b9,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-42CB56-001,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC,BHEL-500103;CIL-400095;HPCL-120106;IOCL-110097;NMDC-410102;NTPC-200094,total_annual_consumption,39910,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
dd2ba53a-3079-59bd-8677-94dbce94da8d,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-7426EC-001,HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,HPCL-120076;IOCL-110069;NMDC-410078;NTPC-200068;ONGC-100071;SAIL-300080,total_annual_consumption,45561,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
81bd009e-76bb-5a37-a074-27c3a73a7c3d,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-79903B-001,Coal India;HPCL;NTPC;SAIL,CIL-400093;HPCL-120103;NTPC-200093;SAIL-300106,total_annual_consumption,41452,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
5dd20155-27b4-55b9-b5ca-2b2cba11631c,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-A2AB0B-001,BHEL;Coal India;HPCL;NTPC;SAIL,BHEL-500019;CIL-400016;HPCL-120021;NTPC-200020;SAIL-300024,total_annual_consumption,33967,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
11dd34af-f274-5946-874d-30c3f26eee6f,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-A82C5B-001,Coal India;HPCL;NMDC;NTPC;ONGC;SAIL,CIL-400056;HPCL-120063;HPCL-120150;NMDC-410063;NTPC-200057;ONGC-100059;ONGC-100155;SAIL-300069,total_annual_consumption,60026,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
faab7e6d-b44d-5c2e-bb6e-8e4758a5b2b2,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-BCCDD8-001,Coal India;NMDC;NTPC;ONGC,CIL-400035;NMDC-410045;NTPC-200041;ONGC-100040,total_annual_consumption,39284,>= P95 (27770.0),Item ranks in the top 5% annual consumption volume for family FASTENER (NOS).,P95_PERCENTILE_LINEAR_FASTENER_NOS
51c6191c-6ac6-5479-af80-583932552921,HIGH_VOLUME_CONCENTRATION,CMM-FASTNR-C18604-001,BHEL;Coal India;HPCL,BHEL-500083;CIL-400072;HPCL-120083,total_annual_consumption,31088,>= P95 (24156.8),Item ranks in the top 5% annual consumption volume for family FASTENER (KG).,P95_PERCENTILE_LINEAR_FASTENER_KG
824631df-fc16-508c-a6c9-50ae6f6009a1,HIGH_VOLUME_CONCENTRATION,CMM-INSTRU-014C39-001,HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,HPCL-120053;IOCL-110052;NMDC-410049;NTPC-200046;ONGC-100047;SAIL-300055,total_annual_consumption,54540,>= P95 (54512.6),Item ranks in the top 5% annual consumption volume for family INSTRUMENTATION (NOS).,P95_PERCENTILE_LINEAR_INSTRUMENTATION_NOS
c81315c0-8d0e-5bee-b935-8449c59de236,HIGH_VOLUME_CONCENTRATION,CMM-INSTRU-027BD0-001,BHEL;Coal India;HPCL;IOCL;NMDC;NTPC;ONGC;SAIL,BHEL-500020;BHEL-500061;BHEL-500104;CIL-400058;CIL-400096;HPCL-120064;HPCL-120107;IOCL-110061;NMDC-410019;NMDC-410103;NTPC-200095;ONGC-100020;ONGC-100061;SAIL-300070;SAIL-300109,total_annual_consumption,87856,>= P95 (54512.6),Item ranks in the top 5% annual consumption volume for family INSTRUMENTATION (NOS).,P95_PERCENTILE_LINEAR_INSTRUMENTATION_NOS
