Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Standardized_Description,Canonical_Material_Key,Canonical_Material_Family,Canonical_Material_Type,Canonical_Material_Subtype,Canonical_Material,Canonical_Material_Grade,Canonical_Nominal_Size,Canonical_Size,Canonical_Length,Canonical_Width,Canonical_Height,Canonical_Diameter,Canonical_Thickness,Canonical_Pressure_Class,Canonical_Schedule,Canonical_Rating,Canonical_Standard,Canonical_Specification,Canonical_Coating,Canonical_Connection_Type,Canonical_End_Type,Canonical_Construction,Canonical_Orientation,Canonical_Manufacturer,Canonical_Manufacturer_Part_No,Canonical_Unit,Standardization_Changed,Standardization_Rule_Count,Standardization_Rules_Applied,Standardization_Conflict_Preserved
CIL-400001,Coal India,Ball Bearing 6304 Stainless Steel,ball bearing 6304 stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,6304,FAG,FAG-BB-6304-12,NOS,10,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field,FAG,FAG-BB-6304-12,Talcher Coalfields,Active,11781,2025-10-27,BEARING | BALL BEARING | STAINLESS STEEL | STAINLESS STEEL | 6304,BEARING|BALL_BEARING|STAINLESS_STEEL|STAINLESS_STEEL|6304,BEARING,BALL BEARING,,STAINLESS STEEL,STAINLESS STEEL,,6304,,,,,,,,,,ABMA 9,,,,,,FAG,FAG-BB-6304-12,NOS,True,9,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_BEARING_NUMBER; SPECIFICATION_TRIM; TYPE_CANONICAL; UNIT_CANONICAL,False
SAIL-300001,SAIL,"BALL BRG, Stainless Steel, SIZE 6304","ball bearing, stainless steel, size 6304",Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,6304,FAG,FAG-BB-6304-29,NOS,10,False,,BEARING_NUMBER; FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field,FAG,FAG-BB-6304-29,Bokaro Steel Plant,Active,5624,2024-10-11,BEARING | BALL BEARING | STAINLESS STEEL | STAINLESS STEEL | 6304,BEARING|BALL_BEARING|STAINLESS_STEEL|STAINLESS_STEEL|6304,BEARING,BALL BEARING,,STAINLESS STEEL,STAINLESS STEEL,,6304,,,,,,,,,,ABMA 9,,,,,,FAG,FAG-BB-6304-29,NOS,True,9,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_BEARING_NUMBER; SPECIFICATION_TRIM; TYPE_CANONICAL; UNIT_CANONICAL,False
BHEL-500001,BHEL,6304 BRG BALL - Stainless Steel,6304 bearing ball - stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,,FAG,FAG-BB-6304-14,NOS,9,False,,FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field,FAG,FAG-BB-6304-14,Bhopal Complex,Slow-Moving,9941,2024-09-27,BEARING | BALL BEARING | STAINLESS STEEL | STAINLESS STEEL | 6304,BEARING|BALL_BEARING|STAINLESS_STEEL|STAINLESS_STEEL|6304,BEARING,BALL BEARING,,STAINLESS STEEL,STAINLESS STEEL,,6304,,,,,,,,,,ABMA 9,,,,,,FAG,FAG-BB-6304-14,NOS,True,9,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_BEARING_NUMBER; SPECIFICATION_TRIM; TYPE_CANONICAL; UNIT_CANONICAL,False
ONGC-100001,ONGC,6304 BRG BALL - Stainless Steel,6304 bearing ball - stainless steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,bearing,ball bearing,,stainless steel,Stainless Steel,6304,,,,,,,,,,,ABMA 9,,,,,,,FAG,FAG-BB-6304-69,NOS,9,False,,FAMILY_BEARING; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_BALL_BEARING; UNIT_FROM_FIELD,description; structured_field,FAG,FAG-BB-6304-69,Sivasagar Asset,Slow-Moving,10183,2025-01-05,BEARING | BALL BEARING | STAINLESS STEEL | STAINLESS STEEL | 6304,BEARING|BALL_BEARING|STAINLESS_STEEL|STAINLESS_STEEL|6304,BEARING,BALL BEARING,,STAINLESS STEEL,STAINLESS STEEL,,6304,,,,,,,,,,ABMA 9,,,,,,FAG,FAG-BB-6304-69,NOS,True,9,FAMILY_CANONICAL; GRADE_UPPERCASE; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_BEARING_NUMBER; SPECIFICATION_TRIM; TYPE_CANONICAL; UNIT_CANONICAL,False
HPCL-120001,HPCL,IND.Centrifugal Pump SS316 DN 100,ind.centrifugal pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-10,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-10,Bhatinda Refinery,Active,10535,2025-12-05,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-10,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
CIL-400002,Coal India,DN 100 Centrifugal Pump - SS316,dn 100 centrifugal pump - ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-99,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-99,Singareni Collieries,Active,1134,2024-08-04,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-99,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
NTPC-200001,NTPC,STORES ITEM Centrifugal Pump SS316 DN 100,stores item centrifugal pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-92,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-92,Korba STPS,Slow-Moving,10582,2025-04-14,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-92,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
IOCL-110001,IOCL,CENT. PUMP SS316 DN 100,cent. pump ss316 dn 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-32,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-32,Gujarat Refinery,Active,2316,2025-06-05,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-32,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
ONGC-100002,ONGC,STORES ITEM Centrifugal Pump DN 100 SS316,stores item centrifugal pump dn 100 ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-15,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-15,Mumbai Offshore Complex,Active,9813,2025-04-24,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-15,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
SAIL-300002,SAIL,SPARE-PUMP CENTRIF DN 100 SS316,spare-pump centrif dn 100 ss316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,pump,centrifugal pump,,stainless steel,SS316,DN 100,,,,,,,,,,API 610,API 610,,,,,,,Kirloskar,KIR-CP-DN100-88,SET,10,True,size: 'DN 100' vs 'DN100'; material_grade: 'SS316' vs 'SS 316',FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_CENTRIFUGAL_PUMP; UNIT_FROM_FIELD,description; specification; structured_field,Kirloskar,KIR-CP-DN100-88,Bhilai Steel Plant,Active,2641,2025-04-09,PUMP | CENTRIFUGAL PUMP | STAINLESS STEEL | SS 316 | DN 100 | API 610,PUMP|CENTRIFUGAL_PUMP|STAINLESS_STEEL|SS_316|DN_100|API_610,PUMP,CENTRIFUGAL PUMP,,STAINLESS STEEL,SS 316,,DN 100,,,,,,,,,API 610,API 610,,,,,,KIRLOSKAR,KIR-CP-DN100-88,SET,True,10,FAMILY_CANONICAL; GRADE_FORMAT_SS316; MANUFACTURER_PART_NO_TRIM; MANUFACTURER_TRIM; MATERIAL_CANONICAL; SIZE_UPPERCASE; SPECIFICATION_TRIM; STANDARD_FORMAT_API; TYPE_CANONICAL; UNIT_UPPERCASE,True
