CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
Coal India,Mining,CIL-400001,Ball Bearing 6304 Stainless Steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,FAG,FAG-BB-6304-12,Talcher Coalfields,Active,11781,2025-10-27,8708.61
SAIL,Steel,SAIL-300001,"BALL BRG, Stainless Steel, SIZE 6304",Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,FAG,FAG-BB-6304-29,Bokaro Steel Plant,Active,5624,2024-10-11,10845.07
BHEL,Heavy Engineering,BHEL-500001,6304 BRG BALL - Stainless Steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,FAG,FAG-BB-6304-14,Bhopal Complex,Slow-Moving,9941,2024-09-27,7676.03
ONGC,Oil & Gas,ONGC-100001,6304 BRG BALL - Stainless Steel,Bearings,Ball Bearing,ABMA 9,Stainless Steel,6304,,,,NOS,FAG,FAG-BB-6304-69,Sivasagar Asset,Slow-Moving,10183,2025-01-05,11459.34
HPCL,Oil & Gas,HPCL-120001,IND.Centrifugal Pump SS316 DN 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-10,Bhatinda Refinery,Active,10535,2025-12-05,150000.0
Coal India,Mining,CIL-400002,DN 100 Centrifugal Pump - SS316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-99,Singareni Collieries,Active,1134,2024-08-04,150000.0
NTPC,Power,NTPC-200001,STORES ITEM Centrifugal Pump SS316 DN 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-92,Korba STPS,Slow-Moving,10582,2025-04-14,150000.0
IOCL,Oil & Gas,IOCL-110001,CENT. PUMP SS316 DN 100,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-32,Gujarat Refinery,Active,2316,2025-06-05,112630.58
ONGC,Oil & Gas,ONGC-100002,STORES ITEM Centrifugal Pump DN 100 SS316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-15,Mumbai Offshore Complex,Active,9813,2025-04-24,129011.79
SAIL,Steel,SAIL-300002,SPARE-PUMP CENTRIF DN 100 SS316,Pumps,Centrifugal Pump,API 610,SS316,DN 100,,,,SET,Kirloskar,KIR-CP-DN100-88,Bhilai Steel Plant,Active,2641,2025-04-09,150000.0
IOCL,Oil & Gas,IOCL-110002,CONTROL VALVE 2 in WCB,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,KSB,KSB-CV-2in-77,Panipat Refinery,Obsolete,14446,2024-11-10,73057.02
NMDC,Mining,NMDC-410001,STORES ITEM Control Valve 2 in WCB,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,KSB,KSB-CV-2in-73,Bailadila Iron Ore Mine,Obsolete,8777,2024-05-08,56032.83
SAIL,Steel,SAIL-300003,CONTROL VALVE WCB 2 in,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,KSB,KSB-CV-2in-71,Bokaro Steel Plant,Obsolete,8885,2025-12-07,51607.14
Coal India,Mining,CIL-400003,CONTROL VALVE WCB 2 in,Valves,Control Valve,API 598,WCB,2 in,,,,NOS,KSB,KSB-CV-2in-52,Singareni Collieries,Active,3731,2024-03-06,54506.55
IOCL,Oil & Gas,IOCL-110003,"XLPE Cable, XLPE Insulated, SIZE 4C x 25 sq mm",Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,Siemens,SIE-XC-4Cx25sqmm-36,Gujarat Refinery,Slow-Moving,14506,2025-08-07,53788.51
BHEL,Heavy Engineering,BHEL-500002,XLPE Cable 4C x 25 sq mm XLPE Insulated,Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,Siemens,SIE-XC-4Cx25sqmm-61,Trichy Complex,Active,5854,2025-03-09,79685.13
NMDC,Mining,NMDC-410002,STORES ITEM 4C x 25 sq mm XLPE Cable - XLPE Insulated,Electrical,XLPE Cable,IEC 60502,XLPE Insulated,4C x 25 sq mm,100 m,,,MTR,Siemens,SIE-XC-4Cx25sqmm-07,Kirandul Complex,Slow-Moving,1840,2024-09-11,65196.93
NMDC,Mining,NMDC-410003,"STORES ITEM RECIPROCATING PUMP, Carbon Steel, SIZE DN 80",Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-22,Bailadila Iron Ore Mine,Slow-Moving,14835,2024-03-01,27261.74
Coal India,Mining,CIL-400004,SPARE-RECIPROCATING PUMP Carbon Steel DN 80,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-50,Talcher Coalfields,Active,12018,2025-07-23,28806.1
ONGC,Oil & Gas,ONGC-100003,IND.RECIPROCATING PUMP DN 80 Carbon Steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-20,Sivasagar Asset,Active,8933,2024-03-03,39668.77
SAIL,Steel,SAIL-300004,Reciprocating Pump DN 80 Carbon Steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-07,Bhilai Steel Plant,Slow-Moving,1172,2025-09-01,41428.09
NTPC,Power,NTPC-200002,Reciprocating Pump DN 80 Carbon Steel,Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-52,Ramagundam STPS,Active,6918,2025-11-04,26714.27
IOCL,Oil & Gas,IOCL-110004,"SPARE-Reciprocating Pump, Carbon Steel, SIZE DN 80",Pumps,Reciprocating Pump,IS 1520,Carbon Steel,DN 80,,DN 80,PTFE Lined,SET,Kirloskar,KIR-RP-DN80-41,Mathura Refinery,Active,2194,2025-11-18,39668.77
SAIL,Steel,SAIL-300005,FLANGE DN 50 IS 2062,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,Jindal Pipes,JINPIP-F-DN50-21,Durgapur Steel Plant,Active,9136,2024-11-02,8495.23
ONGC,Oil & Gas,ONGC-100004,"Flange, IS 2062, SIZE DN 50",Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,Jindal Pipes,JINPIP-F-DN50-18,Mumbai Offshore Complex,Active,9959,2024-08-03,12634.45
NTPC,Power,NTPC-200003,SPARE-FLANGE DN 50 IS 2062,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,Jindal Pipes,JINPIP-F-DN50-88,Ramagundam STPS,Active,6989,2024-10-10,11345.11
IOCL,Oil & Gas,IOCL-110005,IND.FLANGE IS 2062 DN 50,Pipes & Fittings,Flange,ASME B16.5,IS 2062,DN 50,12 m,150 mm,Galvanized,MTR,Jindal Pipes,JINPIP-F-DN50-99,Haldia Refinery,Active,7057,2025-07-28,7289.86
NTPC,Power,NTPC-200004,2 in Gate Valve - LCB,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-46,Singrauli STPS,Slow-Moving,14535,2025-02-20,9126.13
ONGC,Oil & Gas,ONGC-100005,STORES ITEM Gate Valve 2 in LCB,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-31,Ankleshwar Asset,Active,5492,2025-02-25,9133.14
SAIL,Steel,SAIL-300006,STORES ITEM Gate Valve 2 in LCB,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-35,Rourkela Steel Plant,Slow-Moving,3694,2024-07-23,8400.94
BHEL,Heavy Engineering,BHEL-500003,IND.Gate Valve 2 in LCB,Valves,Gate Valve,API 600,LCB,2 in,,,,NOS,Leader Valves,LEAVAL-GV-2in-45,Ranipet Complex,Active,6578,2024-12-02,8462.18
ONGC,Oil & Gas,ONGC-100006,SPARE-6 in PIPE SMLS - SS316L,Pipes & Fittings,Seamless Pipe,ASME B16.5,SS316L,6 in,,6 in,Zinc Plated,MTR,ISMT,ISM-SP-6in-05,Rajahmundry Asset,Active,8429,2024-04-28,66530.24
