CPSE_Code,Material_Code,Plant,Required_Quantity,Forecast_Quantity,Demand_Period,UOM
CPCL,CPCL-0021,PLANT-MANALI-CHNAI,250.0,300.0,Q4 2026,EA
IOCL,IOCL-0121,PLANT-PANIPAT-REFINERY,250.0,300.0,Q4 2026,EA
HPCL,HPCL-0223,PLANT-MUMBAI-REF,18.0,25.0,Q4 2026,SET
ONGC,ONGC-0423,PLANT-MUMBAI-OFFSHORE,18.0,25.0,Q4 2026,SET
CPCL,CPCL-0019,PLANT-MANALI-CHNAI,264.0,303.59999999999997,Q4 2026,EA
HPCL,HPCL-0219,PLANT-MUMBAI-REF,264.0,303.59999999999997,Q4 2026,EA
BPCL,BPCL-0301,PLANT-01,1000.0,1100.0,Q4 2026,EA
BPCL,BPCL-0302,PLANT-MUMBAI-REF,352.0,404.79999999999995,Q4 2026,EA
BPCL,BPCL-0304,PLANT-MUMBAI-REF,624.0,717.5999999999999,Q4 2026,EA
BPCL,BPCL-0306,PLANT-MUMBAI-REF,96.0,110.39999999999999,Q4 2026,L
BPCL,BPCL-0307,PLANT-MUMBAI-REF,232.0,266.0,Q4 2026,KG
BPCL,BPCL-0308,PLANT-MUMBAI-REF,368.0,423.2,Q4 2026,SET
BPCL,BPCL-0309,PLANT-MUMBAI-REF,504.0,579.5999999999999,Q4 2026,EA
BPCL,BPCL-0311,PLANT-MUMBAI-REF,776.0,892.4,Q4 2026,EA
BPCL,BPCL-0312,PLANT-MUMBAI-REF,112.0,128.79999999999998,Q4 2026,M
BPCL,BPCL-0313,PLANT-MUMBAI-REF,248.0,285.2,Q4 2026,M
BPCL,BPCL-0314,PLANT-MUMBAI-REF,384.0,441.59999999999997,Q4 2026,EA
BPCL,BPCL-0315,PLANT-MUMBAI-REF,520.0,598.0,Q4 2026,EA
BPCL,BPCL-0316,PLANT-MUMBAI-REF,656.0,754.4,Q4 2026,KG
BPCL,BPCL-0317,PLANT-MUMBAI-REF,792.0,910.8,Q4 2026,ROLL
BPCL,BPCL-0318,PLANT-MUMBAI-REF,128.0,147.2,Q4 2026,EA
BPCL,BPCL-0319,PLANT-MUMBAI-REF,264.0,303.59999999999997,Q4 2026,EA
BPCL,BPCL-0320,PLANT-MUMBAI-REF,400.0,459.99999999999994,Q4 2026,EA
BPCL,BPCL-0321,PLANT-MUMBAI-REF,250.0,300.0,Q4 2026,EA
