CPSE_Code,Material_Code,Plant,Quantity_On_Hand,Reserved_Quantity,Available_Quantity,UOM,Inventory_Date
CPCL,CPCL-0021,PLANT-MANALI-CHNAI,420.0,40.0,380.0,EA,2026-09-24
IOCL,IOCL-0121,PLANT-PANIPAT-REFINERY,420.0,40.0,380.0,EA,2026-09-24
HPCL,HPCL-0223,PLANT-MUMBAI-REF,25.0,3.0,22.0,SET,2026-09-24
ONGC,ONGC-0423,PLANT-MUMBAI-OFFSHORE,25.0,3.0,22.0,SET,2026-09-24
CPCL,CPCL-0019,PLANT-MANALI-CHNAI,330.0,18.0,312.0,EA,2026-09-24
HPCL,HPCL-0219,PLANT-MUMBAI-REF,330.0,18.0,312.0,EA,2026-09-24
BPCL,BPCL-0301,PLANT-01,700.0,50.0,650.0,EA,2026-09-24
BPCL,BPCL-0302,PLANT-MUMBAI-REF,440.0,14.0,426.0,EA,2026-09-24
BPCL,BPCL-0303,PLANT-MUMBAI-REF,100.0,10.0,90.0,EA,2026-09-24
BPCL,BPCL-0304,PLANT-MUMBAI-REF,780.0,18.0,762.0,EA,2026-09-24
BPCL,BPCL-0305,PLANT-MUMBAI-REF,250.0,30.0,220.0,L,2026-09-24
BPCL,BPCL-0306,PLANT-MUMBAI-REF,120.0,12.0,108.0,L,2026-09-24
BPCL,BPCL-0307,PLANT-MUMBAI-REF,290.0,14.0,276.0,KG,2026-09-24
BPCL,BPCL-0308,PLANT-MUMBAI-REF,460.0,16.0,444.0,SET,2026-09-24
BPCL,BPCL-0309,PLANT-MUMBAI-REF,630.0,18.0,612.0,EA,2026-09-24
BPCL,BPCL-0310,PLANT-MUMBAI-REF,150.0,20.0,130.0,EA,2026-09-24
BPCL,BPCL-0311,PLANT-MUMBAI-REF,970.0,22.0,948.0,EA,2026-09-24
BPCL,BPCL-0312,PLANT-MUMBAI-REF,140.0,14.0,126.0,M,2026-09-24
BPCL,BPCL-0313,PLANT-MUMBAI-REF,310.0,16.0,294.0,M,2026-09-24
BPCL,BPCL-0314,PLANT-MUMBAI-REF,480.0,18.0,462.0,EA,2026-09-24
BPCL,BPCL-0315,PLANT-MUMBAI-REF,650.0,20.0,630.0,EA,2026-09-24
BPCL,BPCL-0316,PLANT-MUMBAI-REF,820.0,22.0,798.0,KG,2026-09-24
BPCL,BPCL-0317,PLANT-MUMBAI-REF,990.0,24.0,966.0,ROLL,2026-09-24
BPCL,BPCL-0318,PLANT-MUMBAI-REF,160.0,16.0,144.0,EA,2026-09-24
BPCL,BPCL-0319,PLANT-MUMBAI-REF,330.0,18.0,312.0,EA,2026-09-24
BPCL,BPCL-0320,PLANT-MUMBAI-REF,500.0,20.0,480.0,EA,2026-09-24
BPCL,BPCL-0321,PLANT-MUMBAI-REF,420.0,40.0,380.0,EA,2026-09-24
BPCL,BPCL-0322,PLANT-MUMBAI-REF,840.0,24.0,816.0,EA,2026-09-24
BPCL,BPCL-0323,PLANT-MUMBAI-REF,25.0,3.0,22.0,SET,2026-09-24
BPCL,BPCL-0324,PLANT-MUMBAI-REF,180.0,18.0,162.0,EA,2026-09-24
BPCL,BPCL-0325,PLANT-MUMBAI-REF,350.0,20.0,330.0,PR,2026-09-24
CPCL,CPCL-0001,PLANT-01,300.0,20.0,280.0,EA,2026-09-24
CPCL,CPCL-0002,PLANT-MANALI-CHNAI,440.0,14.0,426.0,EA,2026-09-24
CPCL,CPCL-0003,PLANT-MANALI-CHNAI,100.0,10.0,90.0,EA,2026-09-24
CPCL,CPCL-0004,PLANT-MANALI-CHNAI,780.0,18.0,762.0,EA,2026-09-24
CPCL,CPCL-0005,PLANT-MANALI-CHNAI,250.0,30.0,220.0,L,2026-09-24
CPCL,CPCL-0006,PLANT-MANALI-CHNAI,120.0,12.0,108.0,L,2026-09-24
CPCL,CPCL-0007,PLANT-MANALI-CHNAI,290.0,14.0,276.0,KG,2026-09-24
CPCL,CPCL-0008,PLANT-MANALI-CHNAI,460.0,16.0,444.0,SET,2026-09-24
CPCL,CPCL-0009,PLANT-MANALI-CHNAI,630.0,18.0,612.0,EA,2026-09-24
CPCL,CPCL-0010,PLANT-MANALI-CHNAI,150.0,20.0,130.0,EA,2026-09-24
CPCL,CPCL-0011,PLANT-MANALI-CHNAI,970.0,22.0,948.0,EA,2026-09-24
CPCL,CPCL-0012,PLANT-MANALI-CHNAI,140.0,14.0,126.0,M,2026-09-24
CPCL,CPCL-0013,PLANT-MANALI-CHNAI,310.0,16.0,294.0,M,2026-09-24
CPCL,CPCL-0014,PLANT-MANALI-CHNAI,480.0,18.0,462.0,EA,2026-09-24
CPCL,CPCL-0015,PLANT-MANALI-CHNAI,650.0,20.0,630.0,EA,2026-09-24
CPCL,CPCL-0016,PLANT-MANALI-CHNAI,820.0,22.0,798.0,KG,2026-09-24
CPCL,CPCL-0017,PLANT-MANALI-CHNAI,990.0,24.0,966.0,ROLL,2026-09-24
CPCL,CPCL-0018,PLANT-MANALI-CHNAI,160.0,16.0,144.0,EA,2026-09-24
CPCL,CPCL-0020,PLANT-MANALI-CHNAI,500.0,20.0,480.0,EA,2026-09-24
CPCL,CPCL-0022,PLANT-MANALI-CHNAI,840.0,24.0,816.0,EA,2026-09-24
CPCL,CPCL-0023,PLANT-MANALI-CHNAI,25.0,3.0,22.0,SET,2026-09-24
CPCL,CPCL-0024,PLANT-MANALI-CHNAI,180.0,18.0,162.0,EA,2026-09-24
CPCL,CPCL-0025,PLANT-MANALI-CHNAI,350.0,20.0,330.0,PR,2026-09-24
HPCL,HPCL-0201,PLANT-03,900.0,50.0,850.0,EA,2026-09-24
HPCL,HPCL-0202,PLANT-MUMBAI-REF,440.0,14.0,426.0,EA,2026-09-24
HPCL,HPCL-0203,PLANT-03,190.0,40.0,150.0,EA,2026-09-24
HPCL,HPCL-0204,PLANT-MUMBAI-REF,780.0,18.0,762.0,EA,2026-09-24
HPCL,HPCL-0205,PLANT-MUMBAI-REF,250.0,30.0,220.0,L,2026-09-24
HPCL,HPCL-0206,PLANT-MUMBAI-REF,120.0,12.0,108.0,L,2026-09-24
HPCL,HPCL-0207,PLANT-MUMBAI-REF,290.0,14.0,276.0,KG,2026-09-24
HPCL,HPCL-0208,PLANT-MUMBAI-REF,460.0,16.0,444.0,SET,2026-09-24
HPCL,HPCL-0209,PLANT-MUMBAI-REF,630.0,18.0,612.0,EA,2026-09-24
HPCL,HPCL-0210,PLANT-MUMBAI-REF,150.0,20.0,130.0,EA,2026-09-24
