CPSE_Code,Material_Code,PO_Number,Supplier_Name,Quantity,Unit_Price,UOM,PO_Date
CPCL,CPCL-0021,PO-CPCL-21,WIKA Instruments,250.0,1650.0,EA,2026-05-15
IOCL,IOCL-0121,PO-IOCL-21,WIKA Instruments,250.0,1650.0,EA,2026-05-15
HPCL,HPCL-0223,PO-HPCL-23,Kirloskar Brothers,15.0,85000.0,SET,2026-05-15
ONGC,ONGC-0423,PO-ONGC-23,Kirloskar Brothers,15.0,85000.0,SET,2026-05-15
CPCL,CPCL-0019,PO-CPCL-190,Global Tech,208.0,326.0,EA,2026-05-15
HPCL,HPCL-0219,PO-HPCL-190,Global Tech,208.0,326.0,EA,2026-05-15
BPCL,BPCL-0301,PO-41205,Apex Fasteners,600.0,12.2,EA,2026-05-15
BPCL,BPCL-0302,PO-BPCL-020,National Supplies,274.0,458.0,EA,2026-05-15
BPCL,BPCL-0304,PO-BPCL-040,ABC Ltd,478.0,866.0,EA,2026-05-15
BPCL,BPCL-0306,PO-BPCL-060,National Supplies,82.0,74.0,L,2026-05-15
BPCL,BPCL-0308,PO-BPCL-080,ABC Ltd,286.0,482.0,SET,2026-05-15
BPCL,BPCL-0309,PO-BPCL-090,Apex Industries,388.0,686.0,EA,2026-05-15
BPCL,BPCL-0311,PO-BPCL-110,Global Tech,592.0,1094.0,EA,2026-05-15
BPCL,BPCL-0312,PO-BPCL-120,ABC Ltd,94.0,98.0,M,2026-05-15
BPCL,BPCL-0313,PO-BPCL-130,Apex Industries,196.0,302.0,M,2026-05-15
BPCL,BPCL-0314,PO-BPCL-140,National Supplies,298.0,506.0,EA,2026-05-15
BPCL,BPCL-0315,PO-BPCL-150,Global Tech,400.0,710.0,EA,2026-05-15
BPCL,BPCL-0316,PO-BPCL-160,ABC Ltd,502.0,914.0,KG,2026-05-15
BPCL,BPCL-0317,PO-BPCL-170,Apex Industries,604.0,1118.0,ROLL,2026-05-15
BPCL,BPCL-0318,PO-BPCL-180,National Supplies,106.0,122.0,EA,2026-05-15
BPCL,BPCL-0319,PO-BPCL-190,Global Tech,208.0,326.0,EA,2026-05-15
BPCL,BPCL-0320,PO-BPCL-200,ABC Ltd,310.0,530.0,EA,2026-05-15
BPCL,BPCL-0321,PO-BPCL-21,WIKA Instruments,250.0,1650.0,EA,2026-05-15
BPCL,BPCL-0322,PO-BPCL-220,National Supplies,514.0,938.0,EA,2026-05-15
BPCL,BPCL-0323,PO-BPCL-23,Kirloskar Brothers,15.0,85000.0,SET,2026-05-15
BPCL,BPCL-0324,PO-BPCL-240,ABC Ltd,118.0,146.0,EA,2026-05-15
BPCL,BPCL-0325,PO-BPCL-250,Apex Industries,220.0,350.0,PR,2026-05-15
CPCL,CPCL-0001,PO-09121,Southern Bolts,250.0,12.5,EA,2026-05-15
CPCL,CPCL-0002,PO-CPCL-020,National Supplies,274.0,458.0,EA,2026-05-15
CPCL,CPCL-0004,PO-CPCL-040,ABC Ltd,478.0,866.0,EA,2026-05-15
CPCL,CPCL-0006,PO-CPCL-060,National Supplies,82.0,74.0,L,2026-05-15
CPCL,CPCL-0008,PO-CPCL-080,ABC Ltd,286.0,482.0,SET,2026-05-15
CPCL,CPCL-0009,PO-CPCL-090,Apex Industries,388.0,686.0,EA,2026-05-15
CPCL,CPCL-0011,PO-CPCL-110,Global Tech,592.0,1094.0,EA,2026-05-15
CPCL,CPCL-0012,PO-CPCL-120,ABC Ltd,94.0,98.0,M,2026-05-15
CPCL,CPCL-0013,PO-CPCL-130,Apex Industries,196.0,302.0,M,2026-05-15
CPCL,CPCL-0014,PO-CPCL-140,National Supplies,298.0,506.0,EA,2026-05-15
CPCL,CPCL-0015,PO-CPCL-150,Global Tech,400.0,710.0,EA,2026-05-15
CPCL,CPCL-0016,PO-CPCL-160,ABC Ltd,502.0,914.0,KG,2026-05-15
CPCL,CPCL-0017,PO-CPCL-170,Apex Industries,604.0,1118.0,ROLL,2026-05-15
CPCL,CPCL-0018,PO-CPCL-180,National Supplies,106.0,122.0,EA,2026-05-15
CPCL,CPCL-0020,PO-CPCL-200,ABC Ltd,310.0,530.0,EA,2026-05-15
CPCL,CPCL-0022,PO-CPCL-220,National Supplies,514.0,938.0,EA,2026-05-15
CPCL,CPCL-0023,PO-CPCL-23,Kirloskar Brothers,15.0,85000.0,SET,2026-05-15
CPCL,CPCL-0024,PO-CPCL-240,ABC Ltd,118.0,146.0,EA,2026-05-15
CPCL,CPCL-0025,PO-CPCL-250,Apex Industries,220.0,350.0,PR,2026-05-15
HPCL,HPCL-0201,PO-88312,ABC Ltd,700.0,11.75,EA,2026-05-15
HPCL,HPCL-0202,PO-HPCL-020,National Supplies,274.0,458.0,EA,2026-05-15
HPCL,HPCL-0203,PO-88941,BHEL Valves,150.0,3480.0,EA,2026-05-15
HPCL,HPCL-0204,PO-HPCL-040,ABC Ltd,478.0,866.0,EA,2026-05-15
HPCL,HPCL-0206,PO-HPCL-060,National Supplies,82.0,74.0,L,2026-05-15
HPCL,HPCL-0208,PO-HPCL-080,ABC Ltd,286.0,482.0,SET,2026-05-15
HPCL,HPCL-0209,PO-HPCL-090,Apex Industries,388.0,686.0,EA,2026-05-15
HPCL,HPCL-0211,PO-HPCL-110,Global Tech,592.0,1094.0,EA,2026-05-15
HPCL,HPCL-0212,PO-HPCL-120,ABC Ltd,94.0,98.0,M,2026-05-15
HPCL,HPCL-0213,PO-HPCL-130,Apex Industries,196.0,302.0,M,2026-05-15
HPCL,HPCL-0214,PO-HPCL-140,National Supplies,298.0,506.0,EA,2026-05-15
HPCL,HPCL-0215,PO-HPCL-150,Global Tech,400.0,710.0,EA,2026-05-15
HPCL,HPCL-0216,PO-HPCL-160,ABC Ltd,502.0,914.0,KG,2026-05-15
HPCL,HPCL-0217,PO-HPCL-170,Apex Industries,604.0,1118.0,ROLL,2026-05-15
HPCL,HPCL-0218,PO-HPCL-180,National Supplies,106.0,122.0,EA,2026-05-15
HPCL,HPCL-0220,PO-HPCL-200,ABC Ltd,310.0,530.0,EA,2026-05-15
HPCL,HPCL-0221,PO-HPCL-21,WIKA Instruments,250.0,1650.0,EA,2026-05-15
HPCL,HPCL-0222,PO-HPCL-220,National Supplies,514.0,938.0,EA,2026-05-15
HPCL,HPCL-0224,PO-HPCL-240,ABC Ltd,118.0,146.0,EA,2026-05-15
HPCL,HPCL-0225,PO-HPCL-250,Apex Industries,220.0,350.0,PR,2026-05-15
IOCL,IOCL-0101,PO-22041,XYZ Ltd,800.0,11.5,EA,2026-05-15
IOCL,IOCL-0102,PO-IOCL-020,National Supplies,274.0,458.0,EA,2026-05-15
IOCL,IOCL-0103,PO-22590,L&T Valves,400.0,3320.0,EA,2026-05-15
IOCL,IOCL-0104,PO-IOCL-040,ABC Ltd,478.0,866.0,EA,2026-05-15
IOCL,IOCL-0105,PO-22610,Castrol India,700.0,178.5,L,2026-05-15
IOCL,IOCL-0106,PO-IOCL-060,National Supplies,82.0,74.0,L,2026-05-15
IOCL,IOCL-0107,PO-22701,Balmer Lawrie,350.0,232.0,KG,2026-05-15
IOCL,IOCL-0108,PO-IOCL-080,ABC Ltd,286.0,482.0,SET,2026-05-15
IOCL,IOCL-0109,PO-IOCL-090,Apex Industries,388.0,686.0,EA,2026-05-15
IOCL,IOCL-0110,PO-22718,Spirax Sarco,400.0,410.0,EA,2026-05-15
IOCL,IOCL-0111,PO-IOCL-110,Global Tech,592.0,1094.0,EA,2026-05-15
IOCL,IOCL-0112,PO-IOCL-120,ABC Ltd,94.0,98.0,M,2026-05-15
IOCL,IOCL-0113,PO-IOCL-130,Apex Industries,196.0,302.0,M,2026-05-15
IOCL,IOCL-0114,PO-IOCL-140,National Supplies,298.0,506.0,EA,2026-05-15
IOCL,IOCL-0115,PO-IOCL-150,Global Tech,400.0,710.0,EA,2026-05-15
IOCL,IOCL-0116,PO-IOCL-160,ABC Ltd,502.0,914.0,KG,2026-05-15
IOCL,IOCL-0117,PO-IOCL-170,Apex Industries,604.0,1118.0,ROLL,2026-05-15
IOCL,IOCL-0118,PO-IOCL-180,National Supplies,106.0,122.0,EA,2026-05-15
IOCL,IOCL-0119,PO-IOCL-190,Global Tech,208.0,326.0,EA,2026-05-15
IOCL,IOCL-0120,PO-IOCL-200,ABC Ltd,310.0,530.0,EA,2026-05-15
IOCL,IOCL-0122,PO-IOCL-220,National Supplies,514.0,938.0,EA,2026-05-15
IOCL,IOCL-0123,PO-IOCL-23,Kirloskar Brothers,15.0,85000.0,SET,2026-05-15
IOCL,IOCL-0124,PO-IOCL-240,ABC Ltd,118.0,146.0,EA,2026-05-15
IOCL,IOCL-0125,PO-IOCL-250,Apex Industries,220.0,350.0,PR,2026-05-15
ONGC,ONGC-0401,PO-10231,ABC Ltd,1000.0,12.0,EA,2026-05-15
ONGC,ONGC-0402,PO-ONGC-020,National Supplies,274.0,458.0,EA,2026-05-15
ONGC,ONGC-0403,PO-10882,Leader Valves,500.0,3450.0,EA,2026-05-15
ONGC,ONGC-0404,PO-ONGC-040,ABC Ltd,478.0,866.0,EA,2026-05-15
ONGC,ONGC-0405,PO-10901,Indian Oil Corp,1000.0,185.0,L,2026-05-15
ONGC,ONGC-0406,PO-ONGC-060,National Supplies,82.0,74.0,L,2026-05-15
ONGC,ONGC-0407,PO-11022,Bharat Petroleum,400.0,240.0,KG,2026-05-15
ONGC,ONGC-0408,PO-ONGC-080,ABC Ltd,286.0,482.0,SET,2026-05-15
ONGC,ONGC-0409,PO-ONGC-090,Apex Industries,388.0,686.0,EA,2026-05-15
ONGC,ONGC-0410,PO-11044,Flexitallic India,800.0,420.0,EA,2026-05-15
ONGC,ONGC-0411,PO-ONGC-110,Global Tech,592.0,1094.0,EA,2026-05-15
ONGC,ONGC-0412,PO-ONGC-120,ABC Ltd,94.0,98.0,M,2026-05-15
ONGC,ONGC-0413,PO-ONGC-130,Apex Industries,196.0,302.0,M,2026-05-15
ONGC,ONGC-0414,PO-ONGC-140,National Supplies,298.0,506.0,EA,2026-05-15
