source_material_code,source_cpse,candidate_material_code,candidate_cpse,source_canonical_key,candidate_canonical_key,canonical_key_exact,description_similarity,embedding_similarity,attribute_agreement,evaluated_attribute_count,blocking_strategies,conflict_present,conflict_details,engineering_conflict_class,engineering_incompatibility,penalty_applied,final_match_score,confidence_level,evidence_summary,material_family_similarity,material_type_similarity,material_subtype_similarity,material_similarity,material_grade_similarity,nominal_size_similarity,size_similarity,length_similarity,width_similarity,height_similarity,diameter_similarity,thickness_similarity,pressure_class_similarity,schedule_similarity,rating_similarity,standard_similarity,coating_similarity,connection_type_similarity,end_type_similarity,construction_similarity,orientation_similarity,dataset_id,candidate_id,validation_status,validation_reason_codes,refined_score,refined_confidence,review_priority,validation_evidence,upstream_conflict_present,upstream_conflict_details,upstream_conflict_preserved
TEST-001,CPCL,TEST-002,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL,False,0.9194,0.9169,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',NO_CONFLICT,False,0.0,0.6182,LOW,Embedding sim: 0.92 | Description sim: 0.92 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0001,REVIEW_REQUIRED,CORE_ATTR_MATCH;UPSTREAM_CONFLICT_PRESERVED,0.4682,MEDIUM,MEDIUM,"Status: REVIEW_REQUIRED (NO_CONFLICT) | Refined Score: 0.468 [MEDIUM] | Priority: MEDIUM | Reasons: [CORE_ATTR_MATCH, UPSTREAM_CONFLICT_PRESERVED] | Upstream Conflict Preserved: TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-001,CPCL,TEST-003,HPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A105|2_IN|API_600|NIL|FLANGED,False,0.9385,0.9484,0.9481,7,FAMILY_TOKEN|SIZE|STANDARD|TYPE,True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105',HARD_INCOMPATIBLE,True,0.5,0.1628,LOW,Embedding sim: 0.95 | Description sim: 0.94 | Attribute agreement: 0.95 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible steel form (forged vs cast): 'ASTM A216 WCB' vs 'ASTM A105',1.0,1.0,,,0.6364,,1.0,,,,,,,,,1.0,1.0,1.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0002,ENGINEERING_INCOMPATIBLE,GRADE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [GRADE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Material/Grade mismatch: ASTM A216 WCB vs ASTM A105 | Upstream Conflict Preserved: TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105',True
TEST-001,CPCL,TEST-004,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|NIL|FLANGED,False,0.9851,0.9956,0.9643,7,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',HARD_INCOMPATIBLE,True,0.5,0.1833,LOW,Embedding sim: 1.00 | Description sim: 0.99 | Attribute agreement: 0.96 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '2 IN' vs '3 IN',1.0,1.0,,,1.0,,0.75,,,,,,,,,1.0,1.0,1.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0003,ENGINEERING_INCOMPATIBLE,SIZE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [SIZE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Size mismatch: 2 IN vs 3 IN | Upstream Conflict Preserved: TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-001,CPCL,TEST-005,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|BUTT_WELD,False,0.8824,0.9025,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',NO_CONFLICT,False,0.0,0.6116,LOW,Embedding sim: 0.90 | Description sim: 0.88 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0004,REVIEW_REQUIRED,SECONDARY_ATTR_DIFFERENCE;UPSTREAM_CONFLICT_PRESERVED,0.4616,MEDIUM,MEDIUM,"Status: REVIEW_REQUIRED (SOFT_ENGINEERING_DIFFERENCE) | Refined Score: 0.462 [MEDIUM] | Priority: MEDIUM | Reasons: [SECONDARY_ATTR_DIFFERENCE, UPSTREAM_CONFLICT_PRESERVED] | Soft Differences: connection_type mismatch: FLANGED vs BUTT WELD | Upstream Conflict Preserved: TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-001: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-002,CPCL,TEST-003,HPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL,VALVE|GATE_VALVE|ASTM_A105|2_IN|API_600|NIL|FLANGED,False,0.8667,0.8488,0.8052,7,FAMILY_TOKEN|SIZE|STANDARD|TYPE,True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105',HARD_INCOMPATIBLE,True,0.5,0.0785,LOW,Embedding sim: 0.85 | Description sim: 0.87 | Attribute agreement: 0.81 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible steel form (forged vs cast): 'ASTM A216 WCB' vs 'ASTM A105',1.0,1.0,,,0.6364,,1.0,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0005,ENGINEERING_INCOMPATIBLE,GRADE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [GRADE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Material/Grade mismatch: ASTM A216 WCB vs ASTM A105 | Upstream Conflict Preserved: TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105',True
TEST-002,CPCL,TEST-004,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|NIL|FLANGED,False,0.9032,0.9078,0.8214,7,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',HARD_INCOMPATIBLE,True,0.5,0.1004,LOW,Embedding sim: 0.91 | Description sim: 0.90 | Attribute agreement: 0.82 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '2 IN' vs '3 IN',1.0,1.0,,,1.0,,0.75,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0006,ENGINEERING_INCOMPATIBLE,SIZE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [SIZE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Size mismatch: 2 IN vs 3 IN | Upstream Conflict Preserved: TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-002,CPCL,TEST-005,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|BUTT_WELD,False,0.9048,0.9053,0.8571,7,FAMILY_TOKEN|MATERIAL_GRADE|SIZE|STANDARD|TYPE,True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',NO_CONFLICT,False,0.0,0.6144,LOW,Embedding sim: 0.91 | Description sim: 0.90 | Attribute agreement: 0.86 (7 attrs) | Status: NO_CONFLICT,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0007,REVIEW_REQUIRED,CORE_ATTR_MATCH;UPSTREAM_CONFLICT_PRESERVED,0.4644,MEDIUM,MEDIUM,"Status: REVIEW_REQUIRED (NO_CONFLICT) | Refined Score: 0.464 [MEDIUM] | Priority: MEDIUM | Reasons: [CORE_ATTR_MATCH, UPSTREAM_CONFLICT_PRESERVED] | Upstream Conflict Preserved: TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-002: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-003,HPCL,TEST-004,CPCL,VALVE|GATE_VALVE|ASTM_A105|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|NIL|FLANGED,False,0.9231,0.9487,0.9123,7,FAMILY_TOKEN|STANDARD|TYPE,True,TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',HARD_INCOMPATIBLE,True,0.5,0.147,LOW,Embedding sim: 0.95 | Description sim: 0.92 | Attribute agreement: 0.91 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible steel form (forged vs cast): 'ASTM A105' vs 'ASTM A216 WCB',1.0,1.0,,,0.6364,,0.75,,,,,,,,,1.0,1.0,1.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0008,ENGINEERING_INCOMPATIBLE,SIZE_MISMATCH;GRADE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [SIZE_MISMATCH, GRADE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Material/Grade mismatch: ASTM A105 vs ASTM A216 WCB; Size mismatch: 2 IN vs 3 IN | Upstream Conflict Preserved: TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-003,HPCL,TEST-005,CPCL,VALVE|GATE_VALVE|ASTM_A105|2_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|BUTT_WELD,False,0.8182,0.831,0.8052,7,FAMILY_TOKEN|SIZE|STANDARD|TYPE,True,TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',HARD_INCOMPATIBLE,True,0.5,0.0701,LOW,Embedding sim: 0.83 | Description sim: 0.82 | Attribute agreement: 0.81 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible steel form (forged vs cast): 'ASTM A105' vs 'ASTM A216 WCB',1.0,1.0,,,0.6364,,1.0,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0009,ENGINEERING_INCOMPATIBLE,SECONDARY_ATTR_DIFFERENCE;GRADE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [SECONDARY_ATTR_DIFFERENCE, GRADE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Material/Grade mismatch: ASTM A105 vs ASTM A216 WCB | Soft Differences: connection_type mismatch: FLANGED vs BUTT WELD | Upstream Conflict Preserved: TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-003: size: '2 IN' vs '2 in'; material_grade: 'ASTM A105' vs 'A105'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
TEST-004,CPCL,TEST-005,CPCL,VALVE|GATE_VALVE|ASTM_A216_WCB|3_IN|API_600|NIL|FLANGED,VALVE|GATE_VALVE|ASTM_A216_WCB|2_IN|API_600|NIL|BUTT_WELD,False,0.8676,0.8974,0.8214,7,FAMILY_TOKEN|MATERIAL_GRADE|STANDARD|TYPE,True,TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',HARD_INCOMPATIBLE,True,0.5,0.0948,LOW,Embedding sim: 0.90 | Description sim: 0.87 | Attribute agreement: 0.82 (7 attrs) | Status: HARD_INCOMPATIBLE | Penalty: -0.50 | Notes: Incompatible pipe/valve nominal size: '3 IN' vs '2 IN',1.0,1.0,,,1.0,,0.75,,,,,,,,,1.0,1.0,0.0,,,,UPLOAD-20260911-001,CAN-UPLOAD-20260911-001-0010,ENGINEERING_INCOMPATIBLE,SECONDARY_ATTR_DIFFERENCE;SIZE_MISMATCH;UPSTREAM_CONFLICT_PRESERVED,0.0,LOW,LOW,"Status: ENGINEERING_INCOMPATIBLE (HARD_INCOMPATIBLE) | Refined Score: 0.000 [LOW] | Priority: LOW | Reasons: [SECONDARY_ATTR_DIFFERENCE, SIZE_MISMATCH, UPSTREAM_CONFLICT_PRESERVED] | Hard Incompatibilities: Size mismatch: 3 IN vs 2 IN | Soft Differences: connection_type mismatch: FLANGED vs BUTT WELD | Upstream Conflict Preserved: TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB' | Candidate evidence only; final common master identity deferred to human review.",True,TEST-004: size: '3 IN' vs '3 in'; material_grade: 'ASTM A216 WCB' vs 'WCB'; TEST-005: size: '2 IN' vs '2 in'; material_grade: 'ASTM A216 WCB' vs 'WCB',True
